"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","120","adminCanBeAuthenticatedTest()","","2026-07-09","passed","2026-07-09","","api.AuthenticationTest","api.AuthenticationTest","adminCanBeAuthenticatedTest"
"","220","deletePersonVoidedTest()","","2026-07-09","passed","2026-07-09","","api.PersonTest","api.PersonTest","deletePersonVoidedTest"
"","11877","knownPatientCanBeRegisteredWithMandatoryValidDataTest()","","2026-07-09","failed","2026-07-09","","ui.RegisterPatientTest","ui.RegisterPatientTest","knownPatientCanBeRegisteredWithMandatoryValidDataTest"
"","400","knownPatientCanBeCreatedWithOnlyMandatoryDataTest()","","2026-07-09","passed","2026-07-09","","api.CreatePatientTest","api.CreatePatientTest","knownPatientCanBeCreatedWithOnlyMandatoryDataTest"
"","6615","startVisitAndDiscardShouldNotCreateActiveVisit()","","2026-07-09","passed","2026-07-09","","ui.VisitTest","ui.VisitTest","startVisitAndDiscardShouldNotCreateActiveVisit"
"","280","positiveUpdatePersonMandatoryFieldsTest()","","2026-07-09","passed","2026-07-09","","api.PersonTest","api.PersonTest","positiveUpdatePersonMandatoryFieldsTest"
"","6108","userCanNavigateToSearchResultsPageByPressingEnterTest()","","2026-07-09","passed","2026-07-09","","ui.SearchPatientTest","ui.SearchPatientTest","userCanNavigateToSearchResultsPageByPressingEnterTest"
"","0","searchPatient_withoutMatchingTest(String)","","2026-07-09","skipped","2026-07-09","","api.SearchPatientTest","api.SearchPatientTest","searchPatient_withoutMatchingTest"
"","378","patientCanBeHardDeletedTest()","","2026-07-09","passed","2026-07-09","","api.DeletePatientTest","api.DeletePatientTest","patientCanBeHardDeletedTest"
"","4985","adminCanLoginWithClinicMemorisedTest(AdminLogin)","","2026-07-09","passed","2026-07-09","","ui.LoginTest","ui.LoginTest","adminCanLoginWithClinicMemorisedTest"
