"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7907","userCanNavigateToSearchResultsPageByClickingSearchButtonTest()","","2026-07-10","passed","2026-07-10","","ui.SearchPatientTest","ui.SearchPatientTest","userCanNavigateToSearchResultsPageByClickingSearchButtonTest"
"","6796","startVisitAndDiscardShouldNotCreateActiveVisit()","","2026-07-10","passed","2026-07-10","","ui.VisitTest","ui.VisitTest","startVisitAndDiscardShouldNotCreateActiveVisit"
"","0","unknownPatientCanBeRegisteredWithValidDataTest()","","2026-07-10","skipped","2026-07-10","","ui.RegisterPatientTest","ui.RegisterPatientTest","unknownPatientCanBeRegisteredWithValidDataTest"
"","468","knownPatientCanBeCreatedWithOnlyMandatoryDataTest()","","2026-07-10","passed","2026-07-10","","api.CreatePatientTest","api.CreatePatientTest","knownPatientCanBeCreatedWithOnlyMandatoryDataTest"
"","6493","searchDropdownShowsCorrectResultsTest()","","2026-07-10","passed","2026-07-10","","ui.SearchPatientTest","ui.SearchPatientTest","searchDropdownShowsCorrectResultsTest"
"","6507","userCanNavigateToSearchResultsPageByPressingEnterTest()","","2026-07-10","passed","2026-07-10","","ui.SearchPatientTest","ui.SearchPatientTest","userCanNavigateToSearchResultsPageByPressingEnterTest"
"","41","negativeCreatePersonTest(String, String, String, int, String, String) [3] first, middle, LastName, 210, U, birthdate","","2026-07-10","passed","2026-07-10","","api.PersonTest","api.PersonTest","negativeCreatePersonTest"
"","44","negativeCreatePersonTest(String, String, String, int, String, String) [1] , middle, LastName, 21, M, names[0].givenName","","2026-07-10","passed","2026-07-10","","api.PersonTest","api.PersonTest","negativeCreatePersonTest"
"","491","patientCanBeCreatedWithEmptyMiddleOrGivenName(PersonName) [2] PersonName(givenName=28c9dbb7, middleName=7576e681, familyName=, familyName2=null, preferred=null, prefix=null, familyNamePrefix=null, familyNameSuffix=null, degree=null)","","2026-07-10","passed","2026-07-10","","api.CreatePatientTest","api.CreatePatientTest","patientCanBeCreatedWithEmptyMiddleOrGivenName"
"","7884","startVisitAndClickCancelShouldKeepModalOpen()","","2026-07-10","passed","2026-07-10","","ui.VisitTest","ui.VisitTest","startVisitAndClickCancelShouldKeepModalOpen"
"","276","positiveUpdatePersonMandatoryFieldsTest()","","2026-07-10","passed","2026-07-10","","api.PersonTest","api.PersonTest","positiveUpdatePersonMandatoryFieldsTest"
"","5258","adminCanLoginWithClinicMemorisedTest(AdminLogin)","","2026-07-10","passed","2026-07-10","","ui.LoginTest","ui.LoginTest","adminCanLoginWithClinicMemorisedTest"
"","412","patientCanBeSoftDeletedTest()","","2026-07-10","passed","2026-07-10","","api.DeletePatientTest","api.DeletePatientTest","patientCanBeSoftDeletedTest"
"","1306","searchRecentVisitsTest()","","2026-07-10","passed","2026-07-10","","api.VisitTest","api.VisitTest","searchRecentVisitsTest"
"","827","createVisitTest()","","2026-07-10","passed","2026-07-10","","api.VisitTest","api.VisitTest","createVisitTest"
"","5195","shouldDisplayNoUpcomingAppointmentsMessage()","","2026-07-10","passed","2026-07-10","","ui.VisitTest","ui.VisitTest","shouldDisplayNoUpcomingAppointmentsMessage"
"","0","patientCanBeUpdatedSuccessfully()","","2026-07-10","skipped","2026-07-10","","api.UpdatePatientTest","api.UpdatePatientTest","patientCanBeUpdatedSuccessfully"
"","6446","searchInputCanBeClearedTest()","","2026-07-10","passed","2026-07-10","","ui.SearchPatientTest","ui.SearchPatientTest","searchInputCanBeClearedTest"
"","295","searchPatient_withoutMatching_WhenDB_isEmptyTest(String) [2] abrakadabra","","2026-07-10","passed","2026-07-10","","api.SearchPatientTest","api.SearchPatientTest","searchPatient_withoutMatching_WhenDB_isEmptyTest"
"","2926","searchPanelCanBeClosedTest()","","2026-07-10","passed","2026-07-10","","ui.SearchPatientTest","ui.SearchPatientTest","searchPanelCanBeClosedTest"
"","395","patientCanBeHardDeletedTest()","","2026-07-10","passed","2026-07-10","","api.DeletePatientTest","api.DeletePatientTest","patientCanBeHardDeletedTest"
"","2398","newIdentifierCanBeGeneratedTest()","","2026-07-10","passed","2026-07-10","","api.GenerateIdentifierTest","api.GenerateIdentifierTest","newIdentifierCanBeGeneratedTest"
"","124","adminCanBeAuthenticatedTest()","","2026-07-10","passed","2026-07-10","","api.AuthenticationTest","api.AuthenticationTest","adminCanBeAuthenticatedTest"
"","332","patientCannotBeCreatedWithEmptyGivenName()","","2026-07-10","passed","2026-07-10","","api.CreatePatientTest","api.CreatePatientTest","patientCannotBeCreatedWithEmptyGivenName"
"","895","cannotLoginWithWrongAdminPasswordTest(AdminLogin)","","2026-07-10","passed","2026-07-10","","ui.LoginTest","ui.LoginTest","cannotLoginWithWrongAdminPasswordTest"
"","0","searchPatient_withoutMatchingTest(String)","","2026-07-10","skipped","2026-07-10","","api.SearchPatientTest","api.SearchPatientTest","searchPatient_withoutMatchingTest"
"","0","searchUnknownPatientTest(String, int)","","2026-07-10","skipped","2026-07-10","","api.SearchPatientTest","api.SearchPatientTest","searchUnknownPatientTest"
"","5682","startVisitWithoutVisitTypeShouldShowError()","","2026-07-10","passed","2026-07-10","","ui.VisitTest","ui.VisitTest","startVisitWithoutVisitTypeShouldShowError"
"","37","negativeCreatePersonTest(String, String, String, int, String, String) [2] First, middle, LastName, -2, F, birthdate","","2026-07-10","passed","2026-07-10","","api.PersonTest","api.PersonTest","negativeCreatePersonTest"
"","177","searchPatient_withoutMatching_WhenDB_isEmptyTest(String) [1] m","","2026-07-10","passed","2026-07-10","","api.SearchPatientTest","api.SearchPatientTest","searchPatient_withoutMatching_WhenDB_isEmptyTest"
"","2794","searchDropDownShowsDefaultMessagesTest()","","2026-07-10","passed","2026-07-10","","ui.SearchPatientTest","ui.SearchPatientTest","searchDropDownShowsDefaultMessagesTest"
"","9278","deleteActiveVisitShouldRemoveItSuccessfully()","","2026-07-10","passed","2026-07-10","","ui.VisitTest","ui.VisitTest","deleteActiveVisitShouldRemoveItSuccessfully"
"","1154","adminCanLoginTest(AdminLogin)","","2026-07-10","passed","2026-07-10","","ui.LoginTest","ui.LoginTest","adminCanLoginTest"
"","757","userCannotLoginWithoutNameTest()","","2026-07-10","passed","2026-07-10","","ui.LoginTest","ui.LoginTest","userCannotLoginWithoutNameTest"
"","6027","startVisit()","","2026-07-10","passed","2026-07-10","","ui.VisitTest","ui.VisitTest","startVisit"
"","0","searchPatient_withMatchingTest(String, int)","","2026-07-10","skipped","2026-07-10","","api.SearchPatientTest","api.SearchPatientTest","searchPatient_withMatchingTest"
"","737","knownPatientCanBeCreatedWithValidDataTest()","","2026-07-10","passed","2026-07-10","","api.CreatePatientTest","api.CreatePatientTest","knownPatientCanBeCreatedWithValidDataTest"
"","1316","updateVisitStartDatetimeTest()","","2026-07-10","passed","2026-07-10","","api.VisitTest","api.VisitTest","updateVisitStartDatetimeTest"
"","12011","knownPatientCanBeRegisteredWithMandatoryValidDataTest()","","2026-07-10","failed","2026-07-10","","ui.RegisterPatientTest","ui.RegisterPatientTest","knownPatientCanBeRegisteredWithMandatoryValidDataTest"
"","6318","searchPanelCanBeClosedAfterSearchTest()","","2026-07-10","passed","2026-07-10","","ui.SearchPatientTest","ui.SearchPatientTest","searchPanelCanBeClosedAfterSearchTest"
"","188","deletePersonPurgeTest()","","2026-07-10","passed","2026-07-10","","api.PersonTest","api.PersonTest","deletePersonPurgeTest"
"","182","positiveCreatePersonWithMandatoryFieldsTest()","","2026-07-10","passed","2026-07-10","","api.PersonTest","api.PersonTest","positiveCreatePersonWithMandatoryFieldsTest"
"","1219","deleteVisitTest()","","2026-07-10","passed","2026-07-10","","api.VisitTest","api.VisitTest","deleteVisitTest"
"","0","endVisit()","","2026-07-10","skipped","2026-07-10","","ui.VisitTest","ui.VisitTest","endVisit"
"","535","patientCanBeCreatedWithEmptyMiddleOrGivenName(PersonName) [1] PersonName(givenName=12c0f57e, middleName=, familyName=e7d8d6d9, familyName2=null, preferred=null, prefix=null, familyNamePrefix=null, familyNameSuffix=null, degree=null)","","2026-07-10","passed","2026-07-10","","api.CreatePatientTest","api.CreatePatientTest","patientCanBeCreatedWithEmptyMiddleOrGivenName"
"","236","deletePersonVoidedTest()","","2026-07-10","passed","2026-07-10","","api.PersonTest","api.PersonTest","deletePersonVoidedTest"
"","14142","knownPatientCanBeRegisteredWithAllValidDataTest()","","2026-07-10","failed","2026-07-10","","ui.RegisterPatientTest","ui.RegisterPatientTest","knownPatientCanBeRegisteredWithAllValidDataTest"
