"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6430","userCanNavigateToSearchResultsPageByPressingEnterTest()","","2026-07-09","passed","2026-07-09","","ui.SearchPatientTest","ui.SearchPatientTest","userCanNavigateToSearchResultsPageByPressingEnterTest"
"","738","userCannotLoginWithoutNameTest()","","2026-07-09","passed","2026-07-09","","ui.LoginTest","ui.LoginTest","userCannotLoginWithoutNameTest"
"","169","positiveCreatePersonWithMandatoryFieldsTest()","","2026-07-09","passed","2026-07-09","","api.PersonTest","api.PersonTest","positiveCreatePersonWithMandatoryFieldsTest"
"","5918","startVisit()","","2026-07-09","passed","2026-07-09","","ui.VisitTest","ui.VisitTest","startVisit"
"","0","unknownPatientCanBeRegisteredWithValidDataTest()","","2026-07-09","skipped","2026-07-09","","ui.RegisterPatientTest","ui.RegisterPatientTest","unknownPatientCanBeRegisteredWithValidDataTest"
"","39","negativeCreatePersonTest(String, String, String, int, String, String) [2] First, middle, LastName, -2, F, birthdate","","2026-07-09","passed","2026-07-09","","api.PersonTest","api.PersonTest","negativeCreatePersonTest"
"","193","deletePersonVoidedTest()","","2026-07-09","passed","2026-07-09","","api.PersonTest","api.PersonTest","deletePersonVoidedTest"
"","306","searchPatient_withoutMatching_WhenDB_isEmptyTest(String) [2] abrakadabra","","2026-07-09","passed","2026-07-09","","api.SearchPatientTest","api.SearchPatientTest","searchPatient_withoutMatching_WhenDB_isEmptyTest"
"","2696","searchDropDownShowsDefaultMessagesTest()","","2026-07-09","passed","2026-07-09","","ui.SearchPatientTest","ui.SearchPatientTest","searchDropDownShowsDefaultMessagesTest"
"","485","patientCanBeCreatedWithEmptyMiddleOrGivenName(PersonName) [1] PersonName(givenName=3376db9b, middleName=, familyName=0aa47af5, familyName2=null, preferred=null, prefix=null, familyNamePrefix=null, familyNameSuffix=null, degree=null)","","2026-07-09","passed","2026-07-09","","api.CreatePatientTest","api.CreatePatientTest","patientCanBeCreatedWithEmptyMiddleOrGivenName"
"","0","endVisit()","","2026-07-09","skipped","2026-07-09","","ui.VisitTest","ui.VisitTest","endVisit"
"","42","negativeCreatePersonTest(String, String, String, int, String, String) [3] first, middle, LastName, 210, U, birthdate","","2026-07-09","passed","2026-07-09","","api.PersonTest","api.PersonTest","negativeCreatePersonTest"
"","6375","searchPanelCanBeClosedAfterSearchTest()","","2026-07-09","passed","2026-07-09","","ui.SearchPatientTest","ui.SearchPatientTest","searchPanelCanBeClosedAfterSearchTest"
"","0","searchUnknownPatientTest(String, int)","","2026-07-09","skipped","2026-07-09","","api.SearchPatientTest","api.SearchPatientTest","searchUnknownPatientTest"
"","469","patientCanBeCreatedWithEmptyMiddleOrGivenName(PersonName) [2] PersonName(givenName=450d22f3, middleName=0fb8f32d, familyName=, familyName2=null, preferred=null, prefix=null, familyNamePrefix=null, familyNameSuffix=null, degree=null)","","2026-07-09","passed","2026-07-09","","api.CreatePatientTest","api.CreatePatientTest","patientCanBeCreatedWithEmptyMiddleOrGivenName"
"","364","patientCanBeHardDeletedTest()","","2026-07-09","passed","2026-07-09","","api.DeletePatientTest","api.DeletePatientTest","patientCanBeHardDeletedTest"
